Class Name,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,Connectors,InstSpec,LLInst,MsgSent,MsgRecv,MsgSelf,Diags,Role Stereotypes,Agreed?,Comment
Data.ro.isdc.wro.config.jmx.Configuration,7,17,15,4,5,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,2,5,6,0,0,0,0,0,0,1,Information Holder,,
Data.ro.isdc.wro.http.WroFilter,16,24,4,1,10,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,5,0,19,0,0,0,0,0,0,1,Service Provider,,
Data.ro.isdc.wro.manager.factory.ServletContextAwareWroManagerFactory,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,Interfacer,,as the name contains factory
Data.ro.isdc.wro.manager.WroManager,11,25,12,5,7,0,0,0,0,0,0,0,0,0,18,3,0,0,0,1,9,4,30,0,0,0,0,0,0,1,Controller,,
Data.ro.isdc.wro.model.group.processor.AbstractGroupsProcessor,7,19,12,3,8,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,6,0,24,0,0,0,0,0,0,1,Coordinator,,
Data.ro.isdc.wro.model.group.processor.GroupsProcessor,2,4,1,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,1,1,7,10,0,0,0,0,0,0,1,Interfacer,,
Data.ro.isdc.wro.model.group.Group,2,8,8,2,4,0,0,0,0,0,0,0,0,0,5,2,0,0,0,1,2,2,7,0,0,0,0,0,0,1,Information Holder,,
Data.ro.isdc.wro.model.resource.factory.UriLocatorFactory,3,7,3,0,2,0,0,0,0,0,0,0,0,0,8,10,0,0,0,4,3,9,10,0,0,0,0,0,0,1,Interfacer,,as the name contains factory
Data.ro.isdc.wro.model.resource.locator.ClasspathUriLocator,2,4,3,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,7,0,0,0,0,0,0,1,Service Provider,,
Data.ro.isdc.wro.model.resource.locator.ServletContextUriLocator,4,4,4,0,2,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,3,2,5,0,0,0,0,0,0,1,Service Provider,,
Data.ro.isdc.wro.model.resource.locator.UrlUriLocator,1,3,3,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,Service Provider,,
Data.ro.isdc.wro.model.resource.processor.impl.css.CssUrlRewritingProcessor,4,6,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,9,0,0,0,0,0,0,1,Coordinator,,
Data.ro.isdc.wro.model.resource.Resource,2,8,6,0,3,0,0,0,0,0,0,0,0,0,3,18,0,0,0,2,2,24,10,0,0,0,0,0,0,1,Information Holder,,
Data.ro.isdc.wro.model.resource.ResourceType,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,11,0,0,0,2,0,22,1,0,0,0,0,0,0,1,Service Provider,,
Data.ro.isdc.wro.model.WroModel,1,5,5,1,3,0,0,0,0,0,0,0,0,0,4,4,0,0,0,2,1,6,6,0,0,0,0,0,0,1,Information Holder,,
Data.ro.isdc.wro.manager.WroManagerFactory,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interfacer,,as the name contains factory
Data.ro.isdc.wro.model.factory.WroModelFactory,2,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interfacer,,as the name contains factory
Data.ro.isdc.wro.model.resource.locator.UriLocator,2,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interfacer,,
Data.ro.isdc.wro.model.resource.processor.ResourcePostProcessor,1,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interfacer,,As the name contains Processor
Data.ro.isdc.wro.model.resource.processor.ResourcePreProcessor,1,2,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interfacer,,As the name contains Processor
