Class Name,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags,Role Stereotype
UML Model.Logical View.AbstractURLGrabber,2,7,7,1,2,0,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interfacer
UML Model.Logical View.WgetURLGrabber,0,1,1,0,0,0,0,0,0,1,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coordinator
UML Model.Logical View.TestURLGrabber,0,2,2,1,0,0,0,0,0,1,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coordinator
UML Model.Logical View.JSURLGrabber,0,2,2,0,0,0,0,0,0,1,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coordinator
UML Model.Logical View.ShneeParser,0,2,2,0,0,0,0,0,0,1,1,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service Provider
UML Model.Logical View.AbstractMarkupLangParser,4,12,10,2,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,Interfacer
UML Model.Logical View.AbstractNode,2,6,6,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Interfacer
UML Model.Logical View.BitysNode,1,5,5,0,0,0,0,0,0,1,1,0,6,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,Coordinator
UML Model.Logical View.URLGrabber,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interfacer
UML Model.Logical View.MarkupLangParser,9,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interfacer
UML Model.Logical View.Node,6,2,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interfacer
