Class Name,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,Connectors,InstSpec,LLInst,MsgSent,MsgRecv,MsgSelf,Diags
Data.model.Primitive,23,8,7,0,6,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,1,5,7,0,0,0,0,0,0,1
Data.model.ActionLanguage,2,2,13,2,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.Association,6,1,19,6,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.AssociationClass,2,1,9,2,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.AssociationEnd,13,1,7,9,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.AssociationEndPersistence,3,1,8,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.AssociationEndPrimary,4,1,8,4,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.AssociationEndSecondary,4,1,8,4,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.Attribute,16,0,3,12,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.AttributePersistence,14,1,8,8,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.AttributeReferential,6,0,3,6,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.CallEvent,0,0,3,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.ChangeEvent,0,0,3,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.Class,17,3,40,17,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.ClassPersistence,5,1,8,5,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.DataType,3,0,3,3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.Event,2,0,6,2,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.ExceptionEvent,0,0,3,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.FinalState,2,1,8,2,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.FreeType,6,1,8,4,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.FromState,1,1,7,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.Identifier,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.IdentifierNonPrimary,2,0,3,2,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.IdentifierParticipant,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.IdentifierPrimary,2,2,14,2,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.Index,1,0,3,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.InitialState,2,1,8,2,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.ObjectConstraintLanguage,2,3,18,2,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.Operation,2,0,3,2,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.OperationSignature,5,0,3,3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.Package,5,0,18,5,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.Parameter,4,0,3,2,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.PrimitiveType,14,1,8,10,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.Procedure,2,1,8,2,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.SignalEvent,0,2,13,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.Specialization,1,0,3,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.SpecializationGroup,3,0,3,3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.State,4,0,3,4,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.Stately,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.StateMachine,8,2,28,8,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.System,14,0,13,14,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.TimerEvent,2,0,3,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.ToState,2,1,7,2,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.Transition,6,0,3,6,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Data.model.Type,0,2,11,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
